"CRS","CRS.total_count","TIPLOC","Description","dataSource"
"ABW","2","ABWDXR","Abbey Wood","NAPTAN"
"ABW","2","ABWD","Abbey Wood (London) Rail Station","NAPTAN"
"ANM","2","CATZANM","ANTRIM NI","UK2GTFS"
"ANM","2","CATZ113","ANTRIM","CORPUS"
"BIA","2","BSAUKLD","Bishop Auckland Rail Station","NAPTAN"
"BIA","2","BSAUWEA","Bishop Auckland West Station","NAPTAN"
"BKJ","2","BCKNHMJ","Beckenham Junction Rail Station","NAPTAN"
"BKJ","2","BCKNMJC","Beckenham Junction Rail Station","NAPTAN"
"BSH","2","BUSHYDC","Bushey Rail Station","NAPTAN"
"BSH","2","BUSHEY","Bushey Rail Station","NAPTAN"
"CLJ","5","CLPHMJ1","Clapham Junction Rail Station","NAPTAN"
"CLJ","5","CLPHMJ2","Clapham Junction Rail Station","NAPTAN"
"CLJ","5","CLPHMJC","Clapham Junction Rail Station","NAPTAN"
"CLJ","5","CLPHMJW","Clapham Junction Rail Station","NAPTAN"
"CLJ","5","CLPHMJM","Clapham Junction Rail Station","NAPTAN"
"EBB","2","EBWVTN","Ebbw Vale Town Rail Station","NAPTAN"
"EBB","2","EBWVALE","Ebbw Vale (metro)","railmap"
"GLC","2","GLGCLL","Glasgow Central Low Level Rail Station","NAPTAN"
"GLC","2","GLGC","Glasgow Central Rail Station","NAPTAN"
"GLQ","2","GLGQHL","Glasgow Queen Street Rail Station","NAPTAN"
"GLQ","2","GLGQLL","Glasgow Queen Street Low Level Rail Station","NAPTAN"
"HHY","2","HIGHBYA","Highbury & Islington Rail Station","NAPTAN"
"HHY","2","HGHI","Highbury & Islington Rail Station","NAPTAN"
"HRW","2","HROWDC","Harrow & Wealdstone Rail Station","NAPTAN"
"HRW","2","HROW","Harrow & Wealdstone Rail Station","NAPTAN"
"LBG","2","LNDNBDC","London Bridge Rail Station","NAPTAN"
"LBG","2","LNDNBDE","London Bridge Rail Station","NAPTAN"
"LIV","2","LVRPLSL","Liverpool Lime Street Low Level Rail Station","NAPTAN"
"LIV","2","LVRPLSH","Liverpool Lime Street Rail Station","NAPTAN"
"LPY","2","LVRPSPY","Liverpool South Parkway Rail Station","NAPTAN"
"LPY","2","ALERTN","Liverpool South Parkway Rail Station","NAPTAN"
"LST","2","LIVSTLL","Liverpool Street","NAPTAN"
"LST","2","LIVST","London Liverpool Street Rail Station","NAPTAN"
"LTV","2","LCHTTVH","Lichfield Trent Valley High Level Rail Station","NAPTAN"
"LTV","2","LCHTTVL","Lichfield Trent Valley Rail Station","NAPTAN"
"LVC","2","LVRPLCH","Liverpool Central Rail Station","NAPTAN"
"LVC","2","LVRPLCL","Liverpool Central Loop Line","NAPTAN"
"MRF","2","MORFLDS","Moorfields Rail Station","NAPTAN"
"MRF","2","MORFNL","Moorfields Rail Station","NAPTAN"
"NWX","2","NWCROSS","New Cross Rail Station","NAPTAN"
"NWX","2","NWCRELL","New Cross ELL Rail Station","NAPTAN"
"NXG","2","NEWXGTE","New Cross Gate Rail Station","NAPTAN"
"NXG","2","NEWXGEL","New Cross Gate ELL Rail Station","NAPTAN"
"OXT","2","OXTEDBY","Oxted Rail Station","NAPTAN"
"OXT","2","OXTED","Oxted Rail Station","NAPTAN"
"PAD","2","PADTON","London Paddington Rail Station","NAPTAN"
"PAD","2","PADTLL","Paddington","NAPTAN"
"PGN","2","PAIGNTN","Paignton Rail Station","NAPTAN"
"PGN","2","PAIGDV","PAIGNTON","UK2GTFS"
"PMR","2","PCKHMRY","Peckham Rye Rail Station","NAPTAN"
"PMR","2","PKHMRYC","Peckham Rye Rail Station","NAPTAN"
"RDG","2","RDNG4AB","Reading Rail Station","NAPTAN"
"RDG","2","RDNGSTN","Reading Rail Station","NAPTAN"
"RET","2","RTFD","Retford Rail Station","NAPTAN"
"RET","2","RTFDLL","Retford Low Level Rail Station","NAPTAN"
"RMD","2","RICHMND","Richmond (London) Rail Station","NAPTAN"
"RMD","2","RICHNLL","Richmond NLL Rail Station","NAPTAN"
"SBJ","2","STRBDGJ","Stourbridge Junction Rail Station","NAPTAN"
"SBJ","2","STRBDG1","Stourbridge Junction Rail Station","NAPTAN"
"SGB","2","GALTILL","Smethwick Galton Bridge Rail Station","NAPTAN"
"SGB","2","GALTINT","Smethwick Galton Bridge High Level Rail Station","NAPTAN"
"SHT","2","SHOTTHL","Shotton High Level Rail Station","NAPTAN"
"SHT","2","SHOTTON","Shotton Rail Station","NAPTAN"
"SRE","2","STRNRHR","Stranraer Harbour (Ferry)","railmap"
"SRE","2","","STRANRAER HARBOUR","woodpecker"
"STP","3","STPXBOX","London St Pancras International LL Rail Station","NAPTAN"
"STP","3","STPX","London St Pancras International Rail Station","NAPTAN"
"STP","3","STPADOM","London St Pancras International Rail Station","NAPTAN"
"TAM","2","TMWTHLL","Tamworth Rail Station","NAPTAN"
"TAM","2","TMWTHHL","Tamworth High Level Rail Station","NAPTAN"
"TYB","2","TANY","Tan-y-Bwlch Ffestiniog Railway Station","NAPTAN"
"TYB","2","TANYBWL","TAN-Y-BWLCH FR","CORPUS"
"UPM","2","UPMNSP6","Upminster Rail Station","NAPTAN"
"UPM","2","UPMNSTR","Upminster Rail Station","NAPTAN"
"VIC","2","VICTRIE","London Victoria Rail Station","NAPTAN"
"VIC","2","VICTRIC","London Victoria Rail Station","NAPTAN"
"VXH","2","VAUXHLW","Vauxhall Rail Station","NAPTAN"
"VXH","2","VAUXHLM","Vauxhall Rail Station","NAPTAN"
"WFJ","2","WATFJDC","Watford Junction Rail Station","NAPTAN"
"WFJ","2","WATFDJ","Watford Junction Rail Station","NAPTAN"
"WIJ","2","WLSDNJL","Willesden Junction Low Level Rail Station","NAPTAN"
"WIJ","2","WLSDJHL","Willesden Junction Rail Station","NAPTAN"
"WIM","2","WDON","Wimbledon Rail Station","NAPTAN"
"WIM","2","WIMBLDN","Wimbledon Rail Station","NAPTAN"
"WMB","2","WMBY","Wembley Central Rail Station","NAPTAN"
"WMB","2","WMBYDC","Wembley Central Rail Station","NAPTAN"
"WYB","2","WEYBDGE","Weybridge Rail Station","NAPTAN"
"WYB","2","WEYBDGB","Weybridge Rail Station","NAPTAN"
"XAY","2","ABTSWDJ","BR ABBOTSWOOD JN ENG SIDING","woodpecker"
"XAY","2","AYRRTMD","Ayr Depot","railmap"
"ZFD","2","FRNDXR","Farringdon","NAPTAN"
"ZFD","2","FRNDNLT","Farringdon Rail Station","NAPTAN"
"ZLW","2","WCHAPXR","Whitechapel","NAPTAN"
"ZLW","2","WCHAPEL","Whitechapel Rail Station","NAPTAN"
"ZZT","3","ZZTYLIN","Lintley Rail Station","NAPTAN"
"ZZT","3","ZZTYKKH","Kirkhaugh Rail Station","NAPTAN"
"ZZT","3","ZZTYALS","Alston Rail Station","NAPTAN"
